Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.101.8-52.184.216.246-55007-443-6,192.168.101.8,55007,52.184.216.246,443,6,10/04/2023 12:50:05 AM,237498,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.421123546303548,237498.0,0.0,237498.0,237498.0,0,0,0,0,0,237498.0,237498.0,0.0,237498.0,237498.0,0,0,0,0,0,40,0.0,8.421123546303548,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2047,0,0,0,0,0,0,0,0,0,0,No Label
192.168.101.8-104.26.11.240-54989-443-6,192.168.101.8,54989,104.26.11.240,443,6,10/04/2023 12:50:37 AM,125972,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15.876543993903407,125972.0,0.0,125972.0,125972.0,0,0,0,0,0,125972.0,125972.0,0.0,125972.0,125972.0,0,0,0,0,0,40,0.0,15.876543993903407,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,No Label
152.195.38.76-192.168.101.8-80-54990-6,152.195.38.76,80,192.168.101.8,54990,6,10/04/2023 12:49:49 AM,48058849,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06242346752832137,2.40294245E7,3.3982644685825214E7,4.8058783E7,66.0,0,0,0,0,0,4.8058849E7,2.40294245E7,3.3982644685825214E7,4.8058783E7,66.0,0,0,0,0,0,60,0.0,0.06242346752832137,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
192.168.101.8-18.66.78.49-54853-443-6,192.168.101.8,54853,18.66.78.49,443,6,10/04/2023 12:49:48 AM,59835723,1,5,1.0,40.0,1.0,1.0,1.0,0.0,39.0,0.0,8.0,17.334935823359714,0.68520940241668,0.10027454669512391,1.19671446E7,1.9547774353966676E7,4.5015186E7,0.0,0,0,0,0,0,5.9835723E7,1.495893075E7,2.1231158309683222E7,4.5046731E7,0.0,0,0,0,0,20,124,0.01671242444918732,0.0835621222459366,0.0,39.0,5.999999999999999,14.560219778561036,212.0,0,0,0,0,1,0,0,0,5.0,7.0,1.0,8.0,0,0,0,0,0,0,1,1,5,40,-1,133,1,0,25210.0,8959.042917633556,31545.0,18875.0,2.98926515E7,2.1386493387355033E7,4.5015186E7,1.4770117E7,No Label
192.168.101.8-18.66.78.49-54853-443-6,192.168.101.8,54853,18.66.78.49,443,6,10/04/2023 12:50:48 AM,202,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.990099009901,202.0,0.0,202.0,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4950.495049504951,4950.495049504951,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
142.250.206.132-192.168.101.8-443-54852-6,192.168.101.8,54852,142.250.206.132,443,6,10/04/2023 12:49:48 AM,59899090,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.252105833327351,0.10016846666618809,1.1979818E7,1.955009771617345E7,4.5009859E7,306.0,1.4871291E7,1.4871291E7,0.0,1.4871291E7,1.4871291E7,5.9898784E7,1.9966261333333332E7,2.293856492524871E7,4.5031019E7,17940.0,0,0,0,0,40,104,0.03338948888872936,0.06677897777745873,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,265,1,0,19550.0,2276.883835420683,21160.0,17940.0,2.9929842E7,2.1326364562216833E7,4.5009859E7,1.4849825E7,No Label
142.250.194.67-192.168.101.8-443-54855-6,192.168.101.8,54855,142.250.194.67,443,6,10/04/2023 12:49:49 AM,59829816,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.2535555850614684,0.10028444680491747,1.19659632E7,1.9531409899004083E7,4.5006862E7,275.0,1.4807124E7,1.4807124E7,0.0,1.4807124E7,1.4807124E7,5.9829541E7,1.9943180333333332E7,2.2999185509152282E7,4.5110081E7,15830.0,0,0,0,0,40,104,0.033428148934972486,0.06685629786994497,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,265,1,0,59524.5,61793.3545011112,103219.0,15830.0,2.9855246E7,2.1427620839069184E7,4.5006862E7,1.470363E7,No Label
142.250.194.109-192.168.101.8-443-54854-6,192.168.101.8,54854,142.250.194.109,443,6,10/04/2023 12:49:50 AM,60214909,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.2455387086942207,0.09964309669553764,1.20429818E7,1.956070972606847E7,4.5009308E7,230.0,1.5186926E7,1.5186926E7,0.0,1.5186926E7,1.5186926E7,6.0214679E7,2.0071559666666668E7,2.290729889185072E7,4.5036399E7,18675.0,0,0,0,0,40,104,0.03321436556517922,0.06642873113035844,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,285,1,0,22883.0,5951.010670465984,27091.0,18675.0,3.00844565E7,2.110692740770443E7,4.5009308E7,1.5159605E7,No Label
142.250.207.225-192.168.101.8-443-54860-6,192.168.101.8,54860,142.250.207.225,443,6,10/04/2023 12:49:51 AM,59939987,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.2512515226271237,0.10010012181016989,1.19879974E7,1.954948309451225E7,4.5004417E7,290.0,1.4918363E7,1.4918363E7,0.0,1.4918363E7,1.4918363E7,5.9939697E7,1.9979899E7,2.2931266624382287E7,4.5026476E7,17207.0,0,0,0,0,40,104,0.03336670727005663,0.06673341454011326,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,265,1,0,19633.0,3430.8821023171286,22059.0,17207.0,2.99502155E7,2.1289855931997392E7,4.5004417E7,1.4896014E7,No Label
142.250.206.142-192.168.101.8-443-54871-6,192.168.101.8,54871,142.250.206.142,443,6,10/04/2023 12:49:16 AM,104932169,3,5,2.0,74.0,1.0,0.0,0.6666666666666667,0.5773502691896257,73.0,0.0,14.8,32.537670475926824,0.7242774139167942,0.07623972778071518,1.4990309857142858E7,2.1210755657372035E7,4.5014966E7,1288.0,5.9902036E7,2.9951018E7,2.1327176320801634E7,4.5031609E7,1.4870427E7,1.04930881E8,2.623272025E7,2.2549217403799202E7,4.5061429E7,15901.0,0,0,0,0,60,136,0.02858989791776819,0.04764982986294698,0.0,73.0,8.555555555555555,24.17183852704998,584.2777777777778,0,0,0,0,1,0,0,0,1.0,9.625,0.6666666666666666,14.8,0,0,0,0,0,0,3,2,5,74,-1,273,2,0,26335.666666666664,17434.72974649545,46463.0,15901.0,3.4950624666666664E7,1.7431314875265874E7,4.5014966E7,1.4822676E7,No Label
