Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.101.8-52.184.216.246-55007-443-6,192.168.101.8,55007,52.184.216.246,443,6,10/04/2023 12:50:05 AM,237498,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.421123546303548,237498.0,0.0,237498.0,237498.0,0.0,0.0,0.0,0.0,0.0,237498.0,237498.0,0.0,237498.0,237498.0,0,0,0,0,0,40,0.0,8.421123546303548,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2047,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-104.26.11.240-54989-443-6,192.168.101.8,54989,104.26.11.240,443,6,10/04/2023 12:50:37 AM,125972,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.876543993903407,125972.0,0.0,125972.0,125972.0,0.0,0.0,0.0,0.0,0.0,125972.0,125972.0,0.0,125972.0,125972.0,0,0,0,0,0,40,0.0,15.876543993903407,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
152.195.38.76-192.168.101.8-80-54990-6,152.195.38.76,80,192.168.101.8,54990,6,10/04/2023 12:49:49 AM,48058849,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0624234675283213,24029424.5,33982644.685825214,48058783.0,66.0,0.0,0.0,0.0,0.0,0.0,48058849.0,24029424.5,33982644.685825214,48058783.0,66.0,0,0,0,0,0,60,0.0,0.0624234675283213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,515,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-18.66.78.49-54853-443-6,192.168.101.8,54853,18.66.78.49,443,6,10/04/2023 12:49:48 AM,59835723,1,5,1.0,40.0,1.0,1.0,1.0,0.0,39.0,0.0,8.0,17.334935823359714,0.68520940241668,0.1002745466951239,11967144.6,19547774.35396668,45015186.0,0.0,0.0,0.0,0.0,0.0,0.0,59835723.0,14958930.75,21231158.309683222,45046731.0,0.0,0,0,0,0,20,124,0.0167124244491873,0.0835621222459366,0.0,39.0,5.999999999999999,14.560219778561036,212.0,0,0,0,0,1,0,0,0,5.0,7.0,1.0,8.0,0,0,0,0,0,0,1,1,5,40,-1,133,1,0,25210.0,8959.042917633556,31545.0,18875.0,29892651.5,21386493.387355037,45015186.0,14770117.0,No Label
192.168.101.8-18.66.78.49-54853-443-6,192.168.101.8,54853,18.66.78.49,443,6,10/04/2023 12:50:48 AM,202,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.9900990099,202.0,0.0,202.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,4950.495049504951,4950.495049504951,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
142.250.206.132-192.168.101.8-443-54852-6,192.168.101.8,54852,142.250.206.132,443,6,10/04/2023 12:49:48 AM,59899090,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.252105833327351,0.100168466666188,11979818.0,19550097.71617345,45009859.0,306.0,14871291.0,14871291.0,0.0,14871291.0,14871291.0,59898784.0,19966261.33333333,22938564.92524871,45031019.0,17940.0,0,0,0,0,40,104,0.0333894888887293,0.0667789777774587,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,265,1,0,19550.0,2276.883835420683,21160.0,17940.0,29929842.0,21326364.562216837,45009859.0,14849825.0,No Label
142.250.194.67-192.168.101.8-443-54855-6,192.168.101.8,54855,142.250.194.67,443,6,10/04/2023 12:49:49 AM,59829816,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.2535555850614684,0.1002844468049174,11965963.2,19531409.899004083,45006862.0,275.0,14807124.0,14807124.0,0.0,14807124.0,14807124.0,59829541.0,19943180.33333333,22999185.50915228,45110081.0,15830.0,0,0,0,0,40,104,0.0334281489349724,0.0668562978699449,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,265,1,0,59524.5,61793.3545011112,103219.0,15830.0,29855246.0,21427620.839069184,45006862.0,14703630.0,No Label
142.250.194.109-192.168.101.8-443-54854-6,192.168.101.8,54854,142.250.194.109,443,6,10/04/2023 12:49:50 AM,60214909,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.245538708694221,0.0996430966955376,12042981.8,19560709.72606847,45009308.0,230.0,15186926.0,15186926.0,0.0,15186926.0,15186926.0,60214679.0,20071559.666666668,22907298.89185072,45036399.0,18675.0,0,0,0,0,40,104,0.0332143655651792,0.0664287311303584,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,285,1,0,22883.0,5951.010670465984,27091.0,18675.0,30084456.5,21106927.40770443,45009308.0,15159605.0,No Label
142.250.207.225-192.168.101.8-443-54860-6,192.168.101.8,54860,142.250.207.225,443,6,10/04/2023 12:49:51 AM,59939987,2,4,1.0,74.0,1.0,0.0,0.5,0.7071067811865476,73.0,0.0,18.5,36.33639130862245,1.2512515226271237,0.1001001218101698,11987997.4,19549483.09451225,45004417.0,290.0,14918363.0,14918363.0,0.0,14918363.0,14918363.0,59939697.0,19979899.0,22931266.624382287,45026476.0,17207.0,0,0,0,0,40,104,0.0333667072700566,0.0667334145401132,0.0,73.0,10.857142857142858,27.40698555373898,751.1428571428572,0,0,0,0,1,0,0,0,2.0,12.666666666666666,0.5,18.5,0,0,0,0,0,0,2,1,4,74,-1,265,1,0,19633.0,3430.882102317129,22059.0,17207.0,29950215.5,21289855.931997392,45004417.0,14896014.0,No Label
142.250.206.142-192.168.101.8-443-54871-6,192.168.101.8,54871,142.250.206.142,443,6,10/04/2023 12:49:16 AM,104932169,3,5,2.0,74.0,1.0,0.0,0.6666666666666667,0.5773502691896257,73.0,0.0,14.8,32.537670475926824,0.7242774139167942,0.0762397277807151,14990309.857142858,21210755.657372035,45014966.0,1288.0,59902036.0,29951018.0,21327176.320801634,45031609.0,14870427.0,104930881.0,26232720.25,22549217.4037992,45061429.0,15901.0,0,0,0,0,60,136,0.0285898979177681,0.0476498298629469,0.0,73.0,8.555555555555555,24.17183852704998,584.2777777777778,0,0,0,0,1,0,0,0,1.0,9.625,0.6666666666666666,14.8,0,0,0,0,0,0,3,2,5,74,-1,273,2,0,26335.666666666664,17434.72974649545,46463.0,15901.0,34950624.666666664,17431314.875265874,45014966.0,14822676.0,No Label
